# id,name,mesonet,lat,lon,elevation,agl,cit,state,country,active
AS620,KX4DOR-11 Summerville             SC US,APRSWXNET,33.04199981689453,-80.2103271484375,22.899999618530273,-9999.0,null,null,null,true
AS621,K6TGT Granada Hills               CA US,APRSWXNET,34.299320220947266,-118.51242065429688,436.0,-9999.0,null,null,null,true
AS624,KF6RAL-2 M Hill                   ID US,APRSWXNET,42.32004165649414,-111.28974914550781,1926.0,-9999.0,null,null,null,true
AS625,KF6RAL-5 Chokecherry Hollow       ID US,APRSWXNET,42.024169921875,-111.25499725341797,1841.0,-9999.0,null,null,null,true
AS622,WB0VHW-1 Cathay                   ND US,APRSWXNET,47.57550048828125,-99.41683197021484,486.0,-9999.0,null,null,null,true
AS623,W3JY-2 Malvern                    PA US,APRSWXNET,40.016170501708984,-75.50582885742188,139.0,-9999.0,null,null,null,true
C6605,CW6605 Surfers Paradise          QLD AU,APRSWXNET,-27.988000869750977,153.39332580566406,50.0,-9999.0,null,null,null,true
C7937,CW7937 Preston                    ID US,APRSWXNET,42.092498779296875,-111.87267303466797,1435.0,-9999.0,null,null,null,true
WFPM4,WHITEFISH POINT,MQT-Meso,46.766998291015625,-84.96700286865234,204.89999389648438,-9999.0,null,null,null,true
AS660,N3AO-2 Blacksburg                 VA US,APRSWXNET,37.277828216552734,-80.43250274658203,716.2999877929688,-9999.0,null,null,null,true
AS661,WW6RY Lancaster                   CA US,APRSWXNET,34.777000427246094,-118.27749633789062,751.0,-9999.0,null,null,null,true
C6609,CW6609 Arlington                  MA US,APRSWXNET,42.43183135986328,-71.17157745361328,97.0,-9999.0,null,null,null,true
AR330,KC1EO Hollis                      NH US,APRSWXNET,42.783329010009766,-71.5961685180664,97.5,-9999.0,null,null,null,true
SORI1,SOMSEN RANCH                     ID US SNOTEL,utmesnet,42.95000076293945,-111.36000061035156,2072.60009765625,-9999.0,null,null,null,true
C7930,CW7930 Furlong                    PA US,APRSWXNET,40.27333068847656,-75.07032775878906,97.5,-9999.0,null,null,null,true
C7931,CW7931 Wellsboro                  PA US,APRSWXNET,41.743831634521484,-77.2925033569336,460.20001220703125,-9999.0,null,null,null,true
C7935,CW7935 Portugal                      PT,APRSWXNET,38.6751708984375,-9.163999557495117,10.0,-9999.0,null,null,null,true
CWFO3,CROW FLAT                        OR US,RAWS,43.83330154418945,-118.94999694824219,1563.5999755859375,-9999.0,null,null,null,true
C7933,CW7933 Johnson City               NY US,APRSWXNET,42.104671478271484,-75.96417236328125,266.1000061035156,-9999.0,null,null,null,true
CLFO3,CALIMUS                          OR US,RAWS,42.63140106201172,-121.55970001220703,2020.5,-9999.0,null,null,null,true
AS659,N4APD-1 Altamonte Springs         FL UD,APRSWXNET,28.664329528808594,-81.35900115966797,31.0,-9999.0,null,null,null,true
AR328,N1EO Center Harbor                NH US,APRSWXNET,43.69832992553711,-71.4854965209961,252.39999389648438,-9999.0,null,null,null,true
AR329,KA1RVR Epping                     NH US,APRSWXNET,43.061668395996094,-71.06199645996094,54.599998474121094,-9999.0,null,null,null,true
AWSC1,WASCO 5SW                        CA US HNXWFO,utmesnet,35.54389953613281,-119.4092025756836,83.80000305175781,-9999.0,null,null,null,true
AS653,DG1HVV-3 Oebles-Schlechtewitz        DE,APRSWXNET,51.413780212402344,11.945210456848145,83.0,-9999.0,null,null,null,true
AR323,KF6YUA Sebastopol                 CA US,APRSWXNET,38.38031005859375,-122.82415008544922,70.0999984741211,-9999.0,null,null,null,true
AR320,K6TZ Diablo Peak                  CA US,APRSWXNET,34.029571533203125,-119.78605651855469,757.0999755859375,-9999.0,null,null,null,true
AS651,KE4LOJ Casselberry                FL US,APRSWXNET,28.65781021118164,-81.2856674194336,18.0,-9999.0,null,null,null,true
AR321,K6DJR W.Menlo Park                CA US,APRSWXNET,37.434669494628906,-122.20632934570312,35.099998474121094,-9999.0,null,null,null,true
AS652,KB1MTS Ayer                       MA US,APRSWXNET,42.5483283996582,-71.56082916259766,92.0,-9999.0,null,null,null,true
AS657,WA7OBH Stuart                     FL US,APRSWXNET,27.121170043945312,-80.19532775878906,3.0,-9999.0,null,null,null,true
SDRI4,Des Moines / River Woods               KCCI-TV,snet,41.55788040161133,-93.57745361328125,304.79998779296875,-9999.0,null,null,null,true
AS655,KE3HG-2 Pottstown                 PA US,APRSWXNET,40.224998474121094,-75.65450286865234,74.0,-9999.0,null,null,null,true
AS656,KB0NLY-3 Tyler                    MN US,APRSWXNET,44.27682876586914,-96.12982940673828,528.2000122070312,-9999.0,null,null,null,true
C6617,CW6617 Sandhurst                     UK,APRSWXNET,51.352169036865234,-0.773829996585846,83.0,-9999.0,null,null,null,true
C7949,CW7949 Aalborg                       DK,APRSWXNET,57.03499984741211,9.908829689025879,11.0,-9999.0,null,null,null,true
C7947,CW7947 Shrewswbury                MA US,APRSWXNET,42.25144958496094,-71.72335815429688,116.0,-9999.0,null,null,null,true
CHKF1,CHEKIKA                          FL US,RAWS,25.625,-80.57969665527344,1.5,-9999.0,null,null,null,true
ORRI1,ORCHARD RANGE SITE               ID US SNOTEL,utmesnet,43.31999969482422,-116.0,960.0999755859375,-9999.0,null,null,null,true
C7942,CW7942 Murcia                        ES,APRSWXNET,37.93349838256836,-1.149999976158142,90.0,-9999.0,null,null,null,true
C6611,CW6611 Horsham                    PA US,APRSWXNET,40.18938064575195,-75.17916107177734,99.0,-9999.0,null,null,null,true
C6610,CW6610 Loyalton                   CA US,APRSWXNET,39.67599868774414,-120.24299621582031,1514.0,-9999.0,null,null,null,true
C7940,CW7940 Colona                     IL US,APRSWXNET,41.46950149536133,-90.3604965209961,178.0,-9999.0,null,null,null,true
C6612,CW6612 Cambridge                  MA US,APRSWXNET,42.36029815673828,-71.08936309814453,94.0,-9999.0,null,null,null,true
C7946,CW7946 Malta                      NY US,APRSWXNET,42.97871017456055,-73.71859741210938,123.0,-9999.0,null,null,null,true
C6614,CW6614 Edmonton                   AB CA,APRSWXNET,53.425331115722656,-113.46499633789062,694.0,-9999.0,null,null,null,true
AS648,EB3EBM-1 Tora                        ES,APRSWXNET,41.811500549316406,1.407170057296753,439.0,-9999.0,null,null,null,true
AR317,KV4EE Fort Wayne                  IN US,APRSWXNET,41.15950012207031,-85.13217163085938,243.8000030517578,-9999.0,null,null,null,true
AS649,KC0PCQ Blue Springs               MO US,APRSWXNET,39.02267074584961,-94.29949951171875,262.0,-9999.0,null,null,null,true
TRDF1,Trident Pier, FL,NOS-NWLON,28.415000915527344,-80.59300231933594,0.0,-9999.0,null,null,null,true
LSFC1,LSF LAS FLORES                   CA US,RAWS,33.28889846801758,-117.43890380859375,30.5,-9999.0,null,null,null,true
AS642,WD4LUQ Dallas                     GA US,APRSWXNET,33.947669982910156,-84.84400177001953,286.5,-9999.0,null,null,null,true
WTHS1,WITHERBEE                        SC US,RAWS,33.159698486328125,-79.83059692382812,18.0,-9999.0,null,null,null,true
AS643,KB9SOE Corydon                    IN US,APRSWXNET,38.20859146118164,-86.11199188232422,203.0,-9999.0,null,null,null,true
AS640,N1JKL Littleton                   MA US,APRSWXNET,42.54582977294922,-71.50450134277344,90.0,-9999.0,null,null,null,true
AS641,W3JBS-2 Westtown                  PA US,APRSWXNET,39.95111083984375,-75.51045989990234,105.0,-9999.0,null,null,null,true
AR315,OH6GPB-1 Pietarsaari                 FI,APRSWXNET,63.668331146240234,22.7066707611084,12.0,-9999.0,null,null,null,true
AR316,N7OKG Deer Park                   WA US,APRSWXNET,48.085330963134766,-117.43183135986328,757.4000244140625,-9999.0,null,null,null,true
AS647,EA3DGI-1 Cardona                     ES,APRSWXNET,41.836669921875,1.5373300313949585,930.0,-9999.0,null,null,null,true
MSB5,Bobo, MS,ddmet,34.114498138427734,-90.69000244140625,50.65850067138672,-9999.0,null,null,null,true
AR313,WB6AHC-1 San Jose                 CA US,APRSWXNET,37.21833038330078,-121.85166931152344,81.4000015258789,-9999.0,null,null,null,true
CEDC,CEDARVILLE                       CA US AGRIMET,utmesnet,41.58528137207031,-120.17138671875,1402.0999755859375,-9999.0,null,null,null,true
SSMM8,SOUTH SAWMILL CREEK              MT US,RAWS,47.5619010925293,-107.52860260009766,1002.7999877929688,-9999.0,null,null,null,true
HTV1,Hartsville, TN,ddmet,36.35770034790039,-86.08999633789062,196.89439392089844,-9999.0,null,null,null,true
C7918,CW7918 Gilbert                    AZ US,APRSWXNET,33.260501861572266,-111.73133087158203,400.0,-9999.0,null,null,null,true
ACHC1,CHOWCHILLA                       CA US HNXWFO,utmesnet,37.157501220703125,-120.25,74.69999694824219,-9999.0,null,null,null,true
BALV1,BALL MTN LAKE                          USARMY-COE,HADS,43.13330078125,-72.7667007446289,499.3680114746094,-9999.0,null,null,null,true
PTREY,PT REYES LIGHTHOUSE              CA US DRI,utmesnet,37.99639129638672,-123.02056121826172,160.3000030517578,-9999.0,null,null,null,true
TFRAN,Franklin Falls                   WA US WA DOT,utmesnet,47.42599868774414,-121.43199920654297,829.0999755859375,-9999.0,null,null,null,true
